task,fam,horizon,k,BIC,n,forgetting
C--XT---H----,full,C,3,93206.46234773628,105,False
C--XT---H----,commit,C,3,81070.57878881863,105,False
C--XT-R------,full,C,3,94578.74487098184,105,False
C--XT-R------,commit,C,3,83465.75622593888,105,False
C--XT-R-H----,full,C,4,92219.61833595857,105,False
C--XT-R-H----,commit,C,4,79812.3431011098,105,False
C--XT-R-H-L--,full,C,5,92890.3763715106,105,False
C--XT-R-H-L--,commit,C,5,80432.62608141749,105,False
C--XT-R-h-L--,full,C,4,96955.74192280504,105,False
C--XT-R-h-L--,commit,C,4,85317.287973671,105,False
C--XT-RPH--UK,full,C,7,73019.9554054254,105,False
C--XT-RPH--UK,commit,C,7,61410.71377694771,105,False
C--XT-RPHC-UK,full,C,8,67450.9049299739,105,False
C--XT-RPHC-UK,commit,C,8,58728.418332447916,105,False
C-E-T-RPHC-UK,full,C,8,67438.70559440962,105,False
C-E-T-RPHC-UK,commit,C,8,58730.22347730723,105,False
C-EXT-R-H----,full,C,5,91772.73568676026,105,False
C-EXT-RPHC-UK,full,C,9,67122.77983066117,105,False
C-EXT-RPHC-UK,commit,C,9,58579.56000487237,105,False
CB--TGRPhCL--,full,C,7,72291.96499120908,105,True
CB--TGRPhCL--,commit,C,7,62435.43503133579,105,True
CB-XT-RP-C-UK,full,C,8,75448.37803988949,105,False
CB-XT-RP-C-UK,commit,C,8,65961.99508898372,105,False
CB-XT-RPHC-UK,full,C,9,67998.7749138859,105,False
CB-XT-RPHC-UK,commit,C,9,59266.452150771285,105,False
CB-XT-RPHCLUK,full,C,10,68500.90180648417,105,False
CB-XT-RPHCLUK,commit,C,10,59909.20137646374,105,False
CB-XT-RPhCLUK,full,C,9,69150.08809201453,105,False
CB-XT-RPhCLUK,commit,C,9,59960.1221886878,105,False
CB-XTGRPHCL--,full,C,9,73508.63206461168,105,True
CB-XTGRPHCL--,commit,C,9,63138.600078992444,105,True
CB-XTGRPHCLUK,full,C,11,69682.30705898223,105,True
