fit,subject_ID,seed,human,model,n_games
short,28,0,63.0,67.0,80
short,28,1,63.0,79.0,80
short,28,2,63.0,67.0,80
short,28,3,63.0,40.0,80
short,28,4,63.0,92.0,80
short,28,5,63.0,68.0,80
short,28,6,63.0,75.0,80
short,28,7,63.0,79.0,80
short,28,8,63.0,51.0,80
short,28,9,63.0,67.0,80
short,28,10,63.0,68.0,80
short,28,11,63.0,63.0,80
short,28,12,63.0,44.0,80
short,28,13,63.0,65.0,80
short,28,14,63.0,47.0,80
short,28,15,63.0,58.0,80
short,28,16,63.0,74.0,80
short,28,17,63.0,65.0,80
short,28,18,63.0,77.0,80
short,28,19,63.0,58.0,80
short,28,20,63.0,69.0,80
short,28,21,63.0,73.0,80
short,28,22,63.0,74.0,80
short,28,23,63.0,61.0,80
short,28,24,63.0,86.0,80
short,28,25,63.0,86.0,80
short,28,26,63.0,72.0,80
short,28,27,63.0,68.0,80
short,28,28,63.0,50.0,80
short,28,29,63.0,88.0,80
short,28,30,63.0,70.0,80
short,28,31,63.0,66.0,80
short,28,32,63.0,87.0,80
short,28,33,63.0,64.0,80
short,28,34,63.0,81.0,80
short,28,35,63.0,72.0,80
short,28,36,63.0,78.0,80
short,28,37,63.0,62.0,80
short,28,38,63.0,58.0,80
short,28,39,63.0,61.0,80
short,28,40,63.0,76.0,80
short,28,41,63.0,61.0,80
short,28,42,63.0,70.0,80
short,28,43,63.0,81.0,80
short,28,44,63.0,76.0,80
short,28,45,63.0,59.0,80
short,28,46,63.0,52.0,80
short,28,47,63.0,53.0,80
short,28,48,63.0,67.0,80
short,28,49,63.0,51.0,80
short,10,0,63.0,73.0,80
short,10,1,63.0,53.0,80
short,10,2,63.0,65.0,80
short,10,3,63.0,62.0,80
short,10,4,63.0,35.0,80
short,10,5,63.0,66.0,80
short,10,6,63.0,66.0,80
short,10,7,63.0,81.0,80
short,10,8,63.0,56.0,80
short,10,9,63.0,54.0,80
short,10,10,63.0,40.0,80
short,10,11,63.0,53.0,80
short,10,12,63.0,64.0,80
short,10,13,63.0,37.0,80
short,10,14,63.0,65.0,80
short,10,15,63.0,68.0,80
short,10,16,63.0,81.0,80
short,10,17,63.0,52.0,80
short,10,18,63.0,58.0,80
short,10,19,63.0,49.0,80
short,10,20,63.0,67.0,80
short,10,21,63.0,68.0,80
short,10,22,63.0,60.0,80
short,10,23,63.0,82.0,80
short,10,24,63.0,74.0,80
short,10,25,63.0,64.0,80
short,10,26,63.0,55.0,80
short,10,27,63.0,80.0,80
short,10,28,63.0,53.0,80
short,10,29,63.0,53.0,80
short,10,30,63.0,64.0,80
short,10,31,63.0,78.0,80
short,10,32,63.0,73.0,80
short,10,33,63.0,59.0,80
short,10,34,63.0,78.0,80
short,10,35,63.0,73.0,80
short,10,36,63.0,78.0,80
short,10,37,63.0,50.0,80
short,10,38,63.0,55.0,80
short,10,39,63.0,45.0,80
short,10,40,63.0,77.0,80
short,10,41,63.0,67.0,80
short,10,42,63.0,49.0,80
short,10,43,63.0,61.0,80
short,10,44,63.0,60.0,80
short,10,45,63.0,41.0,80
short,10,46,63.0,69.0,80
short,10,47,63.0,46.0,80
short,10,48,63.0,61.0,80
short,10,49,63.0,53.0,80
short,53,0,82.0,53.0,80
short,53,1,82.0,57.0,80
short,53,2,82.0,56.0,80
short,53,3,82.0,65.0,80
short,53,4,82.0,90.0,80
short,53,5,82.0,81.0,80
short,53,6,82.0,72.0,80
short,53,7,82.0,69.0,80
short,53,8,82.0,68.0,80
short,53,9,82.0,73.0,80
short,53,10,82.0,63.0,80
short,53,11,82.0,71.0,80
short,53,12,82.0,70.0,80
short,53,13,82.0,59.0,80
short,53,14,82.0,60.0,80
short,53,15,82.0,71.0,80
short,53,16,82.0,50.0,80
short,53,17,82.0,55.0,80
short,53,18,82.0,77.0,80
short,53,19,82.0,75.0,80
short,53,20,82.0,57.0,80
short,53,21,82.0,62.0,80
short,53,22,82.0,74.0,80
short,53,23,82.0,83.0,80
short,53,24,82.0,76.0,80
short,53,25,82.0,70.0,80
short,53,26,82.0,58.0,80
short,53,27,82.0,74.0,80
short,53,28,82.0,76.0,80
short,53,29,82.0,57.0,80
short,53,30,82.0,75.0,80
short,53,31,82.0,60.0,80
short,53,32,82.0,91.0,80
short,53,33,82.0,63.0,80
short,53,34,82.0,53.0,80
short,53,35,82.0,71.0,80
short,53,36,82.0,81.0,80
short,53,37,82.0,73.0,80
short,53,38,82.0,63.0,80
short,53,39,82.0,63.0,80
short,53,40,82.0,50.0,80
short,53,41,82.0,71.0,80
short,53,42,82.0,76.0,80
short,53,43,82.0,62.0,80
short,53,44,82.0,69.0,80
short,53,45,82.0,60.0,80
short,53,46,82.0,64.0,80
short,53,47,82.0,74.0,80
short,53,48,82.0,66.0,80
short,53,49,82.0,69.0,80
short,39,0,69.0,74.0,80
short,39,1,69.0,80.0,80
short,39,2,69.0,62.0,80
short,39,3,69.0,39.0,80
short,39,4,69.0,64.0,80
short,39,5,69.0,59.0,80
short,39,6,69.0,77.0,80
short,39,7,69.0,68.0,80
short,39,8,69.0,51.0,80
short,39,9,69.0,56.0,80
short,39,10,69.0,60.0,80
short,39,11,69.0,67.0,80
short,39,12,69.0,92.0,80
short,39,13,69.0,63.0,80
short,39,14,69.0,60.0,80
short,39,15,69.0,74.0,80
short,39,16,69.0,64.0,80
short,39,17,69.0,58.0,80
short,39,18,69.0,70.0,80
short,39,19,69.0,74.0,80
short,39,20,69.0,59.0,80
short,39,21,69.0,58.0,80
