subject_ID,fit,horizon,n_games,uniform_reward,informed_reward,uniform_draws,informed_draws,uniform_correct,informed_correct,uniform_missed,informed_missed
28,short,short,80,1.225,1.225,3.8625,3.975,0.8,0.8,0.025,0.025
10,short,short,80,1.075,1.125,3.9125,3.875,0.7625,0.775,0.025,0.025
53,short,short,80,1.225,1.225,3.9625,3.9625,0.8,0.8,0.025,0.025
39,short,short,80,1.275,1.275,3.925,3.975,0.8125,0.8125,0.025,0.025
37,short,short,80,1.075,1.075,3.8875,3.9,0.7625,0.7625,0.025,0.025
1,short,short,80,1.225,1.225,3.925,3.975,0.8,0.8,0.025,0.025
18,short,short,80,1.275,1.275,3.9375,3.975,0.8125,0.8125,0.025,0.025
8,short,short,80,1.175,1.175,3.9375,3.9875,0.7875,0.7875,0.025,0.025
32,short,short,80,1.225,1.225,3.925,3.9375,0.8,0.8,0.025,0.025
68,short,short,80,1.325,1.325,3.9875,3.9625,0.825,0.825,0.025,0.025
70,short,short,80,1.275,1.275,3.9125,3.9875,0.8125,0.8125,0.025,0.025
44,short,short,80,1.125,1.125,3.95,3.95,0.775,0.775,0.025,0.025
14,short,short,80,1.325,1.325,3.9625,3.9375,0.825,0.825,0.025,0.025
78,short,short,80,1.225,1.225,3.9625,3.95,0.8,0.8,0.025,0.025
84,short,short,80,1.125,1.125,3.9375,3.9375,0.775,0.775,0.025,0.025
55,short,short,80,1.025,1.025,3.9125,3.95,0.75,0.75,0.025,0.025
34,short,short,80,1.175,1.175,3.9625,3.9625,0.7875,0.7875,0.025,0.025
74,short,short,80,1.225,1.225,3.9125,3.975,0.8,0.8,0.025,0.025
65,short,short,80,1.175,1.175,4.025,3.975,0.7875,0.7875,0.025,0.025
49,short,short,80,1.175,1.175,4.0,3.9875,0.7875,0.7875,0.025,0.025
104,short,short,80,1.225,1.225,3.95,4.0,0.8,0.8,0.025,0.025
89,short,short,80,1.175,1.175,3.9875,3.8875,0.7875,0.7875,0.025,0.025
56,short,short,80,1.175,1.175,3.9875,3.9375,0.7875,0.7875,0.025,0.025
4,short,short,80,1.225,1.225,3.8875,3.95,0.8,0.8,0.025,0.025
33,short,short,80,1.175,1.175,3.95,3.9875,0.7875,0.7875,0.025,0.025
82,short,short,80,1.225,1.225,3.95,3.9625,0.8,0.8,0.025,0.025
41,short,short,80,1.225,1.225,3.95,3.975,0.8,0.8,0.025,0.025
47,short,short,80,1.275,1.275,3.9625,3.975,0.8125,0.8125,0.025,0.025
51,short,short,80,1.175,1.175,3.9625,3.9,0.7875,0.7875,0.025,0.025
63,short,short,80,1.125,1.175,3.9125,3.9375,0.775,0.7875,0.025,0.025
99,short,short,80,1.225,1.225,3.925,3.9625,0.8,0.8,0.025,0.025
26,short,short,80,1.325,1.275,3.975,3.9125,0.825,0.8125,0.025,0.025
80,short,short,80,1.025,1.025,3.95,3.925,0.75,0.75,0.025,0.025
75,short,short,80,1.225,1.225,3.95,3.95,0.8,0.8,0.025,0.025
13,short,short,80,1.125,1.125,3.95,3.975,0.775,0.775,0.025,0.025
29,short,short,80,1.225,1.225,3.975,3.9375,0.8,0.8,0.025,0.025
46,short,short,80,1.325,1.325,3.925,4.0,0.825,0.825,0.025,0.025
52,short,short,80,1.125,1.125,3.9375,3.9125,0.775,0.775,0.025,0.025
67,short,short,80,1.325,1.275,3.925,3.9125,0.825,0.8125,0.025,0.025
105,short,short,80,1.225,1.225,3.9125,3.95,0.8,0.8,0.025,0.025
101,short,short,80,1.175,1.175,3.9375,3.975,0.7875,0.7875,0.025,0.025
61,short,short,80,1.125,1.125,4.0125,3.9875,0.775,0.775,0.025,0.025
27,short,short,80,1.375,1.325,3.9,3.9375,0.8375,0.825,0.025,0.025
93,short,short,80,1.075,1.075,3.9125,3.9625,0.7625,0.7625,0.025,0.025
17,short,short,80,0.975,0.975,3.9625,3.9875,0.7375,0.7375,0.025,0.025
7,short,short,80,1.275,1.275,3.9125,3.9625,0.8125,0.8125,0.025,0.025
12,short,short,80,1.175,1.175,3.9375,3.9375,0.7875,0.7875,0.025,0.025
103,short,short,80,1.125,1.125,3.8875,3.975,0.775,0.775,0.025,0.025
48,short,short,80,1.125,1.125,3.95,3.9125,0.775,0.775,0.025,0.025
43,short,short,80,1.325,1.325,4.0125,3.9625,0.825,0.825,0.025,0.025
100,short,short,80,1.225,1.225,3.9625,3.95,0.8,0.8,0.025,0.025
45,short,short,80,1.225,1.225,3.9375,3.975,0.8,0.8,0.025,0.025
73,short,short,80,1.125,1.125,3.9875,3.975,0.775,0.775,0.025,0.025
24,short,short,80,1.225,1.225,3.975,3.975,0.8,0.8,0.025,0.025
71,short,short,80,1.275,1.275,3.925,4.0375,0.8125,0.8125,0.025,0.025
76,short,short,80,1.175,1.175,3.9375,3.9625,0.7875,0.7875,0.025,0.025
96,short,short,80,1.075,1.075,3.925,4.0125,0.7625,0.7625,0.025,0.025
98,short,short,80,1.125,1.125,3.95,3.9625,0.775,0.775,0.025,0.025
97,short,short,80,1.175,1.175,3.925,4.0,0.7875,0.7875,0.025,0.025
79,short,short,80,1.175,1.175,4.0,3.9625,0.7875,0.7875,0.025,0.025
58,short,short,80,1.175,1.175,3.9625,3.9625,0.7875,0.7875,0.025,0.025
9,short,short,80,1.125,1.125,3.95,3.95,0.775,0.775,0.025,0.025
35,short,short,80,1.125,1.125,4.0,4.0,0.775,0.775,0.025,0.025
92,short,short,80,1.075,1.075,3.9125,4.0,0.7625,0.7625,0.025,0.025
42,short,short,80,1.225,1.225,3.9125,3.9375,0.8,0.8,0.025,0.025
40,short,short,80,1.125,1.125,3.9375,4.0125,0.775,0.775,0.025,0.025
50,short,short,80,1.175,1.175,3.9125,3.9625,0.7875,0.7875,0.025,0.025
30,short,short,80,1.175,1.175,3.9375,3.925,0.7875,0.7875,0.025,0.025
85,short,short,80,1.175,1.175,3.9625,3.9625,0.7875,0.7875,0.025,0.025
57,short,short,80,1.125,1.125,3.925,3.975,0.775,0.775,0.025,0.025
95,short,short,80,1.225,1.225,3.8875,3.9375,0.8,0.8,0.025,0.025
21,short,short,80,1.175,1.175,3.9625,3.95,0.7875,0.7875,0.025,0.025
5,short,short,80,1.275,1.275,4.0375,4.0,0.8125,0.8125,0.025,0.025
72,short,short,80,1.225,1.225,3.9125,3.975,0.8,0.8,0.025,0.025
22,short,short,80,1.225,1.225,3.9875,3.9875,0.8,0.8,0.025,0.025
87,short,short,80,1.175,1.175,3.9,3.9375,0.7875,0.7875,0.025,0.025
3,short,short,80,1.175,1.175,3.9875,4.0125,0.7875,0.7875,0.025,0.025
15,short,short,80,1.375,1.375,3.975,3.9375,0.8375,0.8375,0.025,0.025
60,short,short,80,1.275,1.275,3.9875,3.975,0.8125,0.8125,0.025,0.025
16,short,short,80,1.175,1.175,3.9625,3.9375,0.7875,0.7875,0.025,0.025
11,short,short,80,1.225,1.225,4.0125,3.925,0.8,0.8,0.025,0.025
83,short,short,80,1.175,1.175,3.9625,3.925,0.7875,0.7875,0.025,0.025
66,short,short,80,1.225,1.225,3.9125,3.95,0.8,0.8,0.025,0.025
25,short,short,80,1.225,1.225,3.9375,4.0125,0.8,0.8,0.025,0.025
2,short,short,80,1.175,1.175,4.0,4.0,0.7875,0.7875,0.025,0.025
91,short,short,80,1.225,1.225,3.95,3.9375,0.8,0.8,0.025,0.025
19,short,short,80,1.025,1.025,3.9375,3.9375,0.75,0.75,0.025,0.025
90,short,short,80,1.175,1.175,3.9625,3.925,0.7875,0.7875,0.025,0.025
69,short,short,80,1.325,1.325,4.0,3.975,0.825,0.825,0.025,0.025
31,short,short,80,1.175,1.175,3.9875,3.9625,0.7875,0.7875,0.025,0.025
6,short,short,80,1.225,1.225,3.9625,3.95,0.8,0.8,0.025,0.025
62,short,short,80,1.225,1.225,3.9375,3.925,0.8,0.8,0.025,0.025
59,short,short,80,1.275,1.275,3.9125,3.9625,0.8125,0.8125,0.025,0.025
36,short,short,80,1.175,1.175,3.975,3.975,0.7875,0.7875,0.025,0.025
94,short,short,80,1.175,1.175,3.95,3.9625,0.7875,0.7875,0.025,0.025
102,short,short,80,1.325,1.325,3.975,3.975,0.825,0.825,0.025,0.025
86,short,short,80,1.175,1.125,3.9375,3.925,0.7875,0.775,0.025,0.025
54,short,short,80,1.175,1.175,3.975,3.9875,0.7875,0.7875,0.025,0.025
23,short,short,80,1.125,1.125,3.95,3.975,0.775,0.775,0.025,0.025
88,short,short,80,1.225,1.225,3.9,3.975,0.8,0.8,0.025,0.025
64,short,short,80,1.125,1.125,3.975,3.9375,0.775,0.775,0.025,0.025
38,short,short,80,1.175,1.225,3.8875,3.9875,0.7875,0.8,0.025,0.025
81,short,short,80,1.275,1.275,3.95,4.0125,0.8125,0.8125,0.025,0.025
77,short,short,80,1.275,1.275,3.9375,3.975,0.8125,0.8125,0.025,0.025
20,short,short,80,1.275,1.275,3.9625,3.9875,0.8125,0.8125,0.025,0.025
28,long,long,80,1.6625,1.6625,9.05,9.1,0.9125,0.9125,0.0125,0.0125
10,long,long,80,1.6625,1.6625,8.925,9.0875,0.9125,0.9125,0.0125,0.0125
53,long,long,80,1.6625,1.6625,8.975,9.1,0.9125,0.9125,0.0125,0.0125
39,long,long,80,1.6625,1.6625,9.0,9.15,0.9125,0.9125,0.0125,0.0125
37,long,long,80,1.5125,1.5125,8.975,9.225,0.875,0.875,0.0125,0.0125
1,long,long,80,1.6625,1.6625,9.0,9.175,0.9125,0.9125,0.0125,0.0125
18,long,long,80,1.6625,1.6625,9.0125,9.225,0.9125,0.9125,0.0125,0.0125
8,long,long,80,1.6625,1.6625,9.025,8.975,0.9125,0.9125,0.0125,0.0125
32,long,long,80,1.6625,1.6625,9.0,9.1375,0.9125,0.9125,0.0125,0.0125
68,long,long,80,1.6625,1.6625,9.075,9.075,0.9125,0.9125,0.0125,0.0125
70,long,long,80,1.6625,1.6625,8.85,9.1625,0.9125,0.9125,0.0125,0.0125
44,long,long,80,1.6125,1.6125,9.025,9.0875,0.9,0.9,0.0125,0.0125
14,long,long,80,1.6625,1.6625,8.875,9.1625,0.9125,0.9125,0.0125,0.0125
78,long,long,80,1.6625,1.6625,8.8875,9.1125,0.9125,0.9125,0.0125,0.0125
84,long,long,80,1.6625,1.6625,9.05,9.2125,0.9125,0.9125,0.0125,0.0125
55,long,long,80,1.6125,1.6125,8.9875,9.125,0.9,0.9,0.0125,0.0125
34,long,long,80,1.6125,1.6125,8.95,9.1875,0.9,0.9,0.0125,0.0125
74,long,long,80,1.6625,1.6625,9.1625,8.975,0.9125,0.9125,0.0125,0.0125
65,long,long,80,1.6125,1.6125,9.2125,9.15,0.9,0.9,0.0125,0.0125
49,long,long,80,1.6125,1.6125,9.1125,9.15,0.9,0.9,0.0125,0.0125
104,long,long,80,1.6625,1.6625,9.075,9.1625,0.9125,0.9125,0.0125,0.0125
89,long,long,80,1.6625,1.6625,8.8875,9.1625,0.9125,0.9125,0.0125,0.0125
56,long,long,80,1.6625,1.6625,8.975,9.0875,0.9125,0.9125,0.0125,0.0125
4,long,long,80,1.6625,1.6625,8.9125,9.175,0.9125,0.9125,0.0125,0.0125
33,long,long,80,1.6625,1.6625,9.0,9.175,0.9125,0.9125,0.0125,0.0125
82,long,long,80,1.6625,1.6625,8.875,9.1875,0.9125,0.9125,0.0125,0.0125
