subject_ID,fit,task,human,human_draws,n_games,fitted,fitted_draws,fitted_correct,fitted_missed,optimal_full,optimal_full_draws,optimal_full_correct,optimal_full_missed,normative_matched,normative_matched_draws,normative_matched_correct,normative_matched_missed,no_regulation,no_regulation_draws,no_regulation_correct,no_regulation_missed,no_belief_bias,no_belief_bias_draws,no_belief_bias_correct,no_belief_bias_missed,no_subjective_cost,no_subjective_cost_draws,no_subjective_cost_correct,no_subjective_cost_missed,no_exaggeration,no_exaggeration_draws,no_exaggeration_correct,no_exaggeration_missed,no_hazard_lapse,no_hazard_lapse_draws,no_hazard_lapse_correct,no_hazard_lapse_missed,gap_full,gap_matched,model_error
28,short,SB-XT-RPh----,0.7875,3.675,80,0.85625,3.6175000000000006,0.69125,0.09125,1.225,3.975,0.8,0.025,0.028125,1.499375,0.50625,0.003125,0.6725,2.825625,0.63375,0.1375,0.813125,3.63,0.67875,0.098125,0.1525,2.955,0.535625,0.01,,,,,,,,,0.4375000000000001,-0.759375,0.06874999999999998
28,long,LBE-T-RPhCL--,1.3125,6.975,80,1.2375,6.969375000000001,0.805625,0.015,1.6625,9.125,0.9125,0.0125,0.07,1.498125,0.5175,0.0,0.9418749999999999,4.189375,0.7125,0.091875,1.24,7.078125,0.804375,0.0225,0.1925,4.66125,0.548125,0.0,1.251875,7.084375,0.8074999999999999,0.021875,1.245625,6.518125,0.8081250000000001,0.013125000000000001,0.3500000000000001,-1.2425,-0.07499999999999996
28,combined,C-EXT-RPHC-UK,1.05,5.325,160,1.026875,5.4325,0.7403125,0.06562500000000002,1.44375,6.4625,0.85625,0.01875,0.8046875,2.1728125,0.6996875,0.0059375,0.7790625,2.240625,0.6921875,0.0103125,,,,,0.9690625,5.3184375,0.729375,0.0515625,0.9853124999999998,5.3846875,0.7296875,0.0665625,,,,,0.39375000000000004,-0.24531250000000004,-0.023125000000000062
10,short,SB-XT-RPh----,0.7875,3.6375,80,0.8081250000000001,3.584375,0.69625,0.023125,1.125,3.9875,0.775,0.025,0.093125,1.481875,0.5225,0.003125,0.556875,2.119375,0.62625,0.05187499999999999,0.734375,3.6049999999999995,0.674375,0.036875,0.22374999999999998,3.4118750000000007,0.553125,0.01125,,,,,,,,,0.3375,-0.694375,0.020625000000000115
10,long,LBE-T-RPhCL--,1.1625,7.2375,80,1.13,7.301249999999999,0.7775,0.02,1.6625,8.7,0.9125,0.0125,0.075,1.53375,0.51875,0.0,0.85375,3.2987499999999996,0.703125,0.04125,1.2325,7.2425,0.80375,0.0175,-0.0025,5.54625,0.499375,0.0,1.160625,7.25,0.785,0.020625,1.1675,6.698125,0.789375,0.01,0.5,-1.0875000000000001,-0.032500000000000195
10,combined,C-EXT-RPHC-UK,0.975,5.4375,160,0.9196874999999999,5.5075,0.7134375000000001,0.0659375,1.39375,6.425,0.84375,0.01875,0.7503125,2.2728124999999997,0.6859375,0.006562500000000001,0.7696875000000001,2.1881250000000003,0.6909375,0.0059375,,,,,0.9365625000000002,5.4350000000000005,0.7206250000000001,0.0540625,0.9034375000000001,5.465625,0.7103125,0.06218749999999999,,,,,0.41875000000000007,-0.22468749999999993,-0.0553125000000001
53,short,SB-XT-RPh----,1.025,3.775,80,0.85125,3.8224999999999993,0.685625,0.10874999999999999,1.225,3.95,0.8,0.025,0.035,1.50375,0.508125,0.0025,0.603125,3.2625,0.595625,0.220625,0.869375,3.8612499999999996,0.68625,0.12437499999999999,-0.0075,3.233125,0.495,0.0125,,,,,,,,,0.20000000000000018,-0.9899999999999999,-0.17374999999999996
53,long,LBE-T-RPhCL--,1.225,9.4375,80,1.214375,9.470625,0.796875,0.026875,1.6625,9.025,0.9125,0.0125,0.2725,1.620625,0.568125,0.0,0.69,2.1525,0.6725,0.0,1.220625,9.48875,0.796875,0.033125,0.564375,8.821875,0.638125,0.011875,1.195,9.44375,0.7925,0.025,1.17125,9.76,0.785625,0.028750000000000005,0.4375,-0.9525000000000001,-0.010625000000000107
53,combined,C-EXT-RPHC-UK,1.125,6.60625,160,1.02,6.6324999999999985,0.7390625,0.06375,1.44375,6.4875,0.85625,0.01875,0.8421875,2.5168749999999998,0.7090624999999999,0.0059375,0.81375,2.47125,0.7015625,0.0075000000000000015,,,,,1.0006249999999999,6.571875,0.7334375,0.06687499999999999,1.050625,6.5699999999999985,0.7471874999999999,0.061875,,,,,0.3187500000000001,-0.2828125,-0.10499999999999998
39,short,SB-XT-RPh----,0.8625,4.2375,80,0.865,4.344375,0.67375,0.17,1.275,3.975,0.8125,0.025,0.14875,1.478125,0.53625,0.00375,0.591875,3.263125,0.59125,0.226875,0.851875,4.350625,0.67,0.171875,0.081875,3.7868750000000007,0.51375,0.026875,,,,,,,,,0.41249999999999987,-0.7137500000000001,0.0024999999999999467
