subject_ID,AIC_personalized_separate,BIC_personalized_separate,AIC_personalized_combined,BIC_personalized_combined,AIC_glm,BIC_glm
1,463.1602656286033,515.984721076454,616.1310856175614,649.6696358566447,473.18471768716154,506.72326792624483
2,528.7987960699509,582.8527796728818,629.5759173687122,668.7007903298895,533.5238575441301,567.7581213851603
3,514.0675563243153,563.1109428365168,539.191865498848,574.9085719283677,580.2413821050459,611.4935002308756
4,458.4336819161708,511.8361264670917,597.4351375296422,631.2057532199439,462.4849701728551,496.25558586315674
5,572.7410542211894,626.0579649822239,633.1768182248534,671.6225986521893,596.7267538807187,630.3668117546375
6,483.11663124451,538.640051095397,529.4457720215669,566.6376484217651,507.06082313046466,539.6037149806381
7,505.50258369931464,557.737310009543,643.6906144850027,677.0297210335259,525.7854551937821,559.1245617423053
8,458.17171620680745,512.9286881323535,577.9594623876465,627.3228897459869,459.47396651441096,494.02836566524934
9,426.6660682854788,477.2011719845252,544.1545065136615,590.0024204375187,413.7787680995881,445.8723078462881
10,490.7807397613384,543.3497967073783,633.5783834228856,666.957835904426,523.7577344778967,557.1371869594371
11,419.9435769398244,478.0229639925187,630.2429120167901,664.59019546733,413.75318554891055,448.1004689994504
12,474.76566732630454,527.8814619041638,620.3460345486268,653.9860924225457,471.9723836454153,505.6124415193342
13,501.4230348583641,553.2947842281125,561.1025855975945,598.5894731741414,513.4620862117386,546.263112841217
14,523.37707053179,577.714800995184,647.9578826640153,682.3121696168903,574.2977272613865,608.6520142142615
15,556.2040302600325,609.0068241850008,626.6240369430207,664.7719826362097,616.7198024051861,650.0992548867265
16,454.2501893593653,510.102944342261,580.0857047419792,617.8763642685489,437.5196992826076,470.58652636835603
17,532.3887213586189,586.2255969354221,621.7847705018526,655.9186227850879,778.8200556055137,812.9539078887491
18,458.88817413814394,510.8657195791388,555.8908675024651,593.4572588389331,444.06285661995423,476.93344903936367
19,572.4113884220353,622.596147205564,609.0488255902984,645.5257474902444,683.4598005962157,715.3771072586684
20,512.7545035740272,568.1894024062068,600.7850671065446,635.6260364979598,607.1786062847226,642.0195756761378
21,453.92076648528473,510.6646833716439,600.4029088718696,638.336514429086,468.01260223480324,501.20450709736764
22,460.01017339122416,515.8317878526677,598.9264987355967,631.6836930365074,441.0447063037769,473.80190060468755
23,515.6083976934895,568.1814371936989,638.64857493454,672.0601375641287,582.7823451977861,616.1939078273748
24,522.1434958266841,574.9114232492461,632.215530125081,665.7462107736784,515.8168194075345,549.3475000561318
25,462.46600523689926,518.2854042492404,535.4711370286916,572.8372675954586,459.27014488000145,491.96550912592255
26,528.8826567515821,583.5288154150124,599.8571007013795,639.332278380808,541.9087548279035,576.4495352974034
27,578.3573000564786,632.6257128944976,635.2998923552921,674.3921454955362,612.1250331848821,646.3307546825956
28,561.9615184738959,614.3335098145973,644.3309349762535,677.5640406640587,566.2865110776675,599.5196167654726
29,489.9704025118164,543.2717613724392,610.8497659555863,644.5592458861066,507.69763209104053,541.4071120215608
30,466.8480101237583,523.933793664587,584.2977518391235,622.4180636533679,471.25595638776224,504.611229225226
31,432.8605062926541,485.78483594308597,609.6127293439708,647.9154892024475,423.8053738301569,457.32028870632394
