subject_ID,fit,task,human,human_draws,n_games,optimal_full,optimal_full_draws,optimal_full_correct,optimal_full_missed,gap_full
28,short,SB-XT-RPh----,0.7875,3.675,80,1.225,3.975,0.8,0.025,0.4375000000000001
28,long,LBE-T-RPhCL--,1.3125,6.975,80,1.6625,9.2,0.9125,0.0125,0.3500000000000001
28,combined,C-EXT-RPHC-UK,1.05,5.325,160,1.44375,6.46875,0.85625,0.01875,0.39375000000000004
10,short,SB-XT-RPh----,0.7875,3.6375,80,1.125,4.0,0.775,0.025,0.3375
10,long,LBE-T-RPhCL--,1.1625,7.2375,80,1.6625,9.0375,0.9125,0.0125,0.5
10,combined,C-EXT-RPHC-UK,0.975,5.4375,160,1.39375,6.54375,0.84375,0.01875,0.41875000000000007
53,short,SB-XT-RPh----,1.025,3.775,80,1.225,3.95,0.8,0.025,0.20000000000000018
53,long,LBE-T-RPhCL--,1.225,9.4375,80,1.6625,9.2375,0.9125,0.0125,0.4375
53,combined,C-EXT-RPHC-UK,1.125,6.60625,160,1.44375,6.55,0.85625,0.01875,0.3187500000000001
39,short,SB-XT-RPh----,0.8625,4.2375,80,1.275,4.0,0.8125,0.025,0.41249999999999987
39,long,LBE-T-RPhCL--,1.05,6.6875,80,1.6625,9.2875,0.9125,0.0125,0.6125
39,combined,C-EXT-RPHC-UK,0.95625,5.4625,160,1.46875,6.53125,0.8625,0.01875,0.5125
37,short,SB-XT-RPh----,0.5875,4.3125,80,1.075,3.9125,0.7625,0.025,0.48749999999999993
37,long,LBE-T-RPhCL--,0.6625,6.1375,80,1.5125,9.2375,0.875,0.0125,0.85
37,combined,C-EXT-RPHC-UK,0.625,5.225,160,1.29375,6.475,0.81875,0.01875,0.66875
1,short,SB-XT-RPh----,1.0625,3.6625,80,1.225,3.8875,0.8,0.025,0.1625000000000001
1,long,LBE-T-RPhCL--,0.925,7.4625,80,1.6625,9.1125,0.9125,0.0125,0.7375
1,combined,C-EXT-RPHC-UK,0.99375,5.5625,160,1.44375,6.6,0.85625,0.01875,0.45000000000000007
