,C--XT---H----,C--XT-R------,C--XT-R-H----,C--XT-R-H-L--,C--XT-R-h-L--,C--XT-RPH--UK,C--XT-RPHC-UK,C-E-T-RPHC-UK,C-EXT-RPHC-UK,CB-XT-RP-C-UK,CB-XT-RPHC-UK,CB-XT-RPHCLUK,CB-XT-RPhCLUK,CBEXT-RP-C-UK,CBEXT-RPHCLUK,CBEXT-RPhC---,CBEXT-RPhCL--,CBEXT-RPhCLUK
C--XT---H----,,,,,,,,,,,,,,,,,,
C--XT-R------,,,,,,,,,,,,,,,,,,
C--XT-R-H----,,,,,,,,,,,,,,,,,,
C--XT-R-H-L--,,,,,,,,,,,,,,,,,,
C--XT-R-h-L--,,,,,,,,,,,,,,,,,,
C--XT-RPH--UK,,,,,,,,,,,,,,,,,,
C--XT-RPHC-UK,,,,,,,67385.79,70995.67,68015.87,,67995.76,,,,70301.78,,,69524.35
C-E-T-RPHC-UK,,,,,,,67450.67,66186.65,66895.63,,68050.43,,,,68674.65,,,67965.65
C-EXT-RPHC-UK,,,,,,,67408.1,69214.12,66716.59,,67954.04,,,,68909.74,,,68104.15
CB-XT-RP-C-UK,,,,,,,,,,,,,,,,,,
CB-XT-RPHC-UK,,,,,,,67156.98,70666.44,67784.06,,67542.48,,,,69963.65,,,69293.51
CB-XT-RPHCLUK,,,,,,,,,,,,,,,,,,
CB-XT-RPhCLUK,,,,,,,,,,,,,,,,,,
CBEXT-RP-C-UK,,,,,,,,,,,,,,,,,,
CBEXT-RPHCLUK,,,,,,,67907.82,69681.51,67276.07,,68355.22,,,,68784.56,,,67978.13
CBEXT-RPhC---,,,,,,,,,,,,,,,,,,
CBEXT-RPhCL--,,,,,,,,,,,,,,,,,,
CBEXT-RPhCLUK,,,,,,,67897.82,69657.5,67357.94,,68284.85,,,,69318.3,,,68558.71
