,L--XT---H----,L--XT-R------,L--XT-R-H----,L--XT-R-H-L--,L--XT-R-h-L--,L--XT-RPH--UK,L--XT-RPHC-UK,LB--T-R-h-L--,LB--T-RPhCL--,LB-XT-RP-C-UK,LB-XT-RPHC-UK,LB-XT-RPHCLUK,LB-XT-RPhCLUK,LBE-T-R-h-L--,LBE-T-RPHCL--,LBE-T-RPhCL--,LBEX--RPhC---,LBEX--RPhCLUK,LBEXT--PHCLUK,LBEXT-R-H----,LBEXT-RP-C-UK,LBEXT-RPHC---,LBEXT-RPHCL--,LBEXT-RPHCLUK,LBEXT-RPhC---,LBEXT-RPhCL--,LBEXT-RPhCLUK
L--XT---H----,,,,,,,,,,,,,,,,,,,,,,,,,,,
L--XT-R------,,,,,,,,,,,,,,,,,,,,,,,,,,,
L--XT-R-H----,,,,,,,,,,,,,,,,,,,,,,,,,,,
L--XT-R-H-L--,,,,,,,,,,,,,,,,,,,,,,,,,,,
L--XT-R-h-L--,,,,,,,,,,,,,,,,,,,,,,,,,,,
L--XT-RPH--UK,,,,,,,,,,,,,,,,,,,,,,,,,,,
L--XT-RPHC-UK,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB--T-R-h-L--,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB--T-RPhCL--,,,,,,,,,37262.73,,,,,,38491.3,37825.22,,,,,,,,,38796.58,38445.68,
LB-XT-RP-C-UK,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB-XT-RPHC-UK,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB-XT-RPHCLUK,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB-XT-RPhCLUK,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBE-T-R-h-L--,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBE-T-RPHCL--,,,,,,,,,37737.79,,,,,,37543.91,36877.38,,,,,,,,,37660.98,37484.83,
LBE-T-RPhCL--,,,,,,,,,37233.36,,,,,,37102.51,36428.7,,,,,,,,,37264.17,37067.09,
LBEX--RPhC---,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBEX--RPhCLUK,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBEXT--PHCLUK,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBEXT-R-H----,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBEXT-RP-C-UK,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBEXT-RPHC---,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBEXT-RPHCL--,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBEXT-RPHCLUK,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBEXT-RPhC---,,,,,,,,,38951.12,,,,,,38752.56,38087.66,,,,,,,,,37301.44,37898.19,
LBEXT-RPhCL--,,,,,,,,,37971.72,,,,,,37874.82,37200.97,,,,,,,,,37355.27,37256.82,
LBEXT-RPhCLUK,,,,,,,,,,,,,,,,,,,,,,,,,,,
