,S--XT---H----,S--XT-R------,S--XT-R-H----,S--XT-R-h----,S--XT-RPH--UK,S--XT-RPHC-UK,SB-XT-R-h----,SB-XT-RP-C-UK,SB-XT-RPHC-UK,SB-XT-RPh----,SB-XT-RPhC-UK,SBEXT--PHC-UK,SBEXT-R-h----,SBEXT-RP-C-UK,SBEXT-RPH----,SBEXT-RPHC---,SBEXT-RPHC-U-,SBEXT-RPHC-UK,SBEXT-RPh----,SBEXT-RPhC---,SBEXT-RPhC-UK
S--XT---H----,27272.05,28450.62,27803.41,27907.33,30761.44,29879.72,28384.81,,,31578.05,,,28824.28,,32291.37,,,,31998.69,29501.62,
S--XT-R------,28981.0,28810.47,29351.44,29462.06,31882.97,,,,,,,,,,,,,,,,
S--XT-R-H----,26573.84,27377.69,26074.82,25788.22,28992.37,,,,,,,,,,,,,,,,
S--XT-R-h----,26397.4,27100.79,25472.18,24899.19,,,,,,,,,,,,,,,,,
S--XT-RPH--UK,39074.9,39795.56,38594.9,38384.12,28753.5,,,,,28508.29,,,37892.97,,29398.51,,,,28956.62,28900.54,
S--XT-RPHC-UK,,,,,,,,,,,,,,,,,,,,,
SB-XT-R-h----,,,,,,,,,,,,,,,,,,,,,
SB-XT-RP-C-UK,,,,,,,,,,,,,,,,,,,,,
SB-XT-RPHC-UK,,,,,,,,,,,,,,,,,,,,,
SB-XT-RPh----,41111.89,,,,29550.81,,,,,28364.86,,,39633.23,,29418.34,,,,28859.79,29367.99,
SB-XT-RPhC-UK,,,,,,,,,,,,,,,,,,,,,
SBEXT--PHC-UK,,,,,,,,,,,,,,,,,,,,,
SBEXT-R-h----,28340.65,,,,29589.2,,,,,30891.23,,,26164.62,,31342.22,,,,31261.09,27660.34,
SBEXT-RP-C-UK,,,,,,,,,,,,,,,,,,,,,
SBEXT-RPH----,40843.01,,,,29718.15,,,,,28626.99,,,40216.01,,29133.23,,,,28631.93,29067.56,
SBEXT-RPHC---,,,,,,,,,,,,,,,,,,,,,
SBEXT-RPHC-U-,,,,,,,,,,,,,,,,,,,,,
SBEXT-RPHC-UK,,,,,,,,,,,,,,,,,,,,,
SBEXT-RPh----,41430.21,,,,29894.16,,,,,28719.86,,,40807.9,,29229.23,,,,28672.85,29192.64,
SBEXT-RPhC---,39388.13,,,,28866.48,,,,,28414.14,,,38459.02,,28763.51,,,,28414.43,28092.8,
SBEXT-RPhC-UK,,,,,,,,,,,,,,,,,,,,,
