,C--XT---H----,C--XT-R------,C--XT-R-H----,C--XT-R-H-L--,C--XT-R-h-L--,C--XT-RPH--UK,C--XT-RPHC-UK,C-E-T-RPHC-UK,C-EXT-RPHC-UK,CB-XT-RP-C-UK,CB-XT-RPHC-UK,CB-XT-RPHCLUK,CB-XT-RPhCLUK,CBEXT-RP-C-UK,CBEXT-RPHCLUK,CBEXT-RPhC---,CBEXT-RPhCL--,CBEXT-RPhCLUK
C--XT---H----,,,,,,,,,,,,,,,,,,
C--XT-R------,,,,,,,,,,,,,,,,,,
C--XT-R-H----,,,,,,,,,,,,,,,,,,
C--XT-R-H-L--,,,,,,,,,,,,,,,,,,
C--XT-R-h-L--,,,,,,,,,,,,,,,,,,
C--XT-RPH--UK,,,,,,,,,,,,,,,,,,
C--XT-RPHC-UK,,,,,,,0.0,3609.88,630.08,,609.97,,,,2915.99,,,2138.56
C-E-T-RPHC-UK,,,,,,,1264.03,0.0,708.99,,1863.78,,,,2488.0,,,1779.0
C-EXT-RPHC-UK,,,,,,,691.51,2497.53,0.0,,1237.44,,,,2193.15,,,1387.56
CB-XT-RP-C-UK,,,,,,,,,,,,,,,,,,
CB-XT-RPHC-UK,,,,,,,-385.51,3123.96,241.58,,0.0,,,,2421.17,,,1751.03
CB-XT-RPHCLUK,,,,,,,,,,,,,,,,,,
CB-XT-RPhCLUK,,,,,,,,,,,,,,,,,,
CBEXT-RP-C-UK,,,,,,,,,,,,,,,,,,
CBEXT-RPHCLUK,,,,,,,-876.75,896.94,-1508.5,,-429.34,,,,0.0,,,-806.43
CBEXT-RPhC---,,,,,,,,,,,,,,,,,,
CBEXT-RPhCL--,,,,,,,,,,,,,,,,,,
CBEXT-RPhCLUK,,,,,,,-660.9,1098.78,-1200.77,,-273.86,,,,759.58,,,0.0
