,L--XT---H----,L--XT-R------,L--XT-R-H----,L--XT-R-H-L--,L--XT-R-h-L--,L--XT-RPH--UK,L--XT-RPHC-UK,LB--T-R-h-L--,LB--T-RPhCL--,LB-XT-RP-C-UK,LB-XT-RPHC-UK,LB-XT-RPHCLUK,LB-XT-RPhCLUK,LBE-T-R-h-L--,LBE-T-RPHCL--,LBE-T-RPhCL--,LBEX--RPhC---,LBEX--RPhCLUK,LBEXT--PHCLUK,LBEXT-R-H----,LBEXT-RP-C-UK,LBEXT-RPHC---,LBEXT-RPHCL--,LBEXT-RPHCLUK,LBEXT-RPhC---,LBEXT-RPhCL--,LBEXT-RPhCLUK
L--XT---H----,,,,,,,,,,,,,,,,,,,,,,,,,,,
L--XT-R------,,,,,,,,,,,,,,,,,,,,,,,,,,,
L--XT-R-H----,,,,,,,,,,,,,,,,,,,,,,,,,,,
L--XT-R-H-L--,,,,,,,,,,,,,,,,,,,,,,,,,,,
L--XT-R-h-L--,,,,,,,,,,,,,,,,,,,,,,,,,,,
L--XT-RPH--UK,,,,,,,,,,,,,,,,,,,,,,,,,,,
L--XT-RPHC-UK,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB--T-R-h-L--,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB--T-RPhCL--,,,,,,,,,0.0,,,,,,1228.57,562.49,,,,,,,,,1533.85,1182.96,
LB-XT-RP-C-UK,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB-XT-RPHC-UK,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB-XT-RPHCLUK,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB-XT-RPhCLUK,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBE-T-R-h-L--,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBE-T-RPHCL--,,,,,,,,,193.88,,,,,,0.0,-666.53,,,,,,,,,117.08,-59.07,
LBE-T-RPhCL--,,,,,,,,,804.66,,,,,,673.81,0.0,,,,,,,,,835.47,638.38,
LBEX--RPhC---,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBEX--RPhCLUK,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBEXT--PHCLUK,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBEXT-R-H----,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBEXT-RP-C-UK,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBEXT-RPHC---,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBEXT-RPHCL--,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBEXT-RPHCLUK,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBEXT-RPhC---,,,,,,,,,1649.67,,,,,,1451.12,786.22,,,,,,,,,0.0,596.74,
LBEXT-RPhCL--,,,,,,,,,714.9,,,,,,618.0,-55.85,,,,,,,,,98.45,0.0,
LBEXT-RPhCLUK,,,,,,,,,,,,,,,,,,,,,,,,,,,
