,S--XT---H----,S--XT-R------,S--XT-R-H----,S--XT-R-h----,S--XT-RPH--UK,S--XT-RPHC-UK,SB-XT-R-h----,SB-XT-RP-C-UK,SB-XT-RPHC-UK,SB-XT-RPh----,SB-XT-RPhC-UK,SBEXT--PHC-UK,SBEXT-R-h----,SBEXT-RP-C-UK,SBEXT-RPH----,SBEXT-RPHC---,SBEXT-RPHC-U-,SBEXT-RPHC-UK,SBEXT-RPh----,SBEXT-RPhC---,SBEXT-RPhC-UK
S--XT---H----,0.0,1178.57,531.35,635.28,3489.39,2607.67,1112.76,,,4306.0,,,1552.22,,5019.32,,,,4726.64,2229.56,
S--XT-R------,170.53,0.0,540.96,651.59,3072.5,,,,,,,,,,,,,,,,
S--XT-R-H----,499.02,1302.87,0.0,-286.6,2917.55,,,,,,,,,,,,,,,,
S--XT-R-h----,1498.2,2201.6,572.98,0.0,,,,,,,,,,,,,,,,,
S--XT-RPH--UK,10321.4,11042.06,9841.4,9630.63,0.0,,,,,-245.2,,,9139.47,,645.01,,,,203.12,147.05,
S--XT-RPHC-UK,,,,,,,,,,,,,,,,,,,,,
SB-XT-R-h----,,,,,,,,,,,,,,,,,,,,,
SB-XT-RP-C-UK,,,,,,,,,,,,,,,,,,,,,
SB-XT-RPHC-UK,,,,,,,,,,,,,,,,,,,,,
SB-XT-RPh----,12747.03,,,,1185.95,,,,,0.0,,,11268.37,,1053.48,,,,494.93,1003.13,
SB-XT-RPhC-UK,,,,,,,,,,,,,,,,,,,,,
SBEXT--PHC-UK,,,,,,,,,,,,,,,,,,,,,
SBEXT-R-h----,2176.03,,,,3424.58,,,,,4726.62,,,0.0,,5177.6,,,,5096.47,1495.72,
SBEXT-RP-C-UK,,,,,,,,,,,,,,,,,,,,,
SBEXT-RPH----,11709.78,,,,584.92,,,,,-506.24,,,11082.78,,0.0,,,,-501.31,-65.67,
SBEXT-RPHC---,,,,,,,,,,,,,,,,,,,,,
SBEXT-RPHC-U-,,,,,,,,,,,,,,,,,,,,,
SBEXT-RPHC-UK,,,,,,,,,,,,,,,,,,,,,
SBEXT-RPh----,12757.36,,,,1221.32,,,,,47.02,,,12135.06,,556.39,,,,0.0,519.8,
SBEXT-RPhC---,11295.33,,,,773.68,,,,,321.34,,,10366.23,,670.72,,,,321.63,0.0,
SBEXT-RPhC-UK,,,,,,,,,,,,,,,,,,,,,
