,C--XT---H----,C--XT-R------,C--XT-R-H----,C--XT-R-H-L--,C--XT-R-h-L--,C--XT-RPH--UK,C--XT-RPHC-UK,C-E-T-RPHC-UK,C-EXT-RPHC-UK,CB-XT-RP-C-UK,CB-XT-RPHC-UK,CB-XT-RPHCLUK,CB-XT-RPhCLUK,CBEXT-RP-C-UK,CBEXT-RPHCLUK,CBEXT-RPhC---,CBEXT-RPhCL--,CBEXT-RPhCLUK
C--XT---H----,,,,,,,,,,,,,,,,,,
C--XT-R------,,,,,,,,,,,,,,,,,,
C--XT-R-H----,,,,,,,,,,,,,,,,,,
C--XT-R-H-L--,,,,,,,,,,,,,,,,,,
C--XT-R-h-L--,,,,,,,,,,,,,,,,,,
C--XT-RPH--UK,,,,,,,,,,,,,,,,,,
C--XT-RPHC-UK,0.0,0.0,0.0,0.0,0.0,0.0,87.62,12.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-E-T-RPHC-UK,0.0,0.0,0.0,0.0,0.0,0.0,1.9,98.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-EXT-RPHC-UK,0.0,0.0,0.0,0.0,0.0,0.0,38.1,22.86,39.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CB-XT-RP-C-UK,,,,,,,,,,,,,,,,,,
CB-XT-RPHC-UK,0.0,0.0,0.0,0.0,0.0,0.0,71.43,15.24,0.0,0.0,13.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CB-XT-RPHCLUK,,,,,,,,,,,,,,,,,,
CB-XT-RPhCLUK,,,,,,,,,,,,,,,,,,
CBEXT-RP-C-UK,,,,,,,,,,,,,,,,,,
CBEXT-RPHCLUK,0.0,0.0,0.0,0.0,0.0,0.0,38.1,20.0,27.62,0.0,3.81,0.0,0.0,0.0,0.0,0.0,0.0,10.48
CBEXT-RPhC---,,,,,,,,,,,,,,,,,,
CBEXT-RPhCL--,,,,,,,,,,,,,,,,,,
CBEXT-RPhCLUK,0.0,0.0,0.0,0.0,0.0,0.0,33.33,21.9,30.48,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,11.43
