,L--XT---H----,L--XT-R------,L--XT-R-H----,L--XT-R-H-L--,L--XT-R-h-L--,L--XT-RPH--UK,L--XT-RPHC-UK,LB--T-R-h-L--,LB--T-RPhCL--,LB-XT-RP-C-UK,LB-XT-RPHC-UK,LB-XT-RPHCLUK,LB-XT-RPhCLUK,LBE-T-R-h-L--,LBE-T-RPHCL--,LBE-T-RPhCL--,LBEX--RPhC---,LBEX--RPhCLUK,LBEXT--PHCLUK,LBEXT-R-H----,LBEXT-RP-C-UK,LBEXT-RPHC---,LBEXT-RPHCL--,LBEXT-RPHCLUK,LBEXT-RPhC---,LBEXT-RPhCL--,LBEXT-RPhCLUK
L--XT---H----,,,,,,,,,,,,,,,,,,,,,,,,,,,
L--XT-R------,,,,,,,,,,,,,,,,,,,,,,,,,,,
L--XT-R-H----,,,,,,,,,,,,,,,,,,,,,,,,,,,
L--XT-R-H-L--,,,,,,,,,,,,,,,,,,,,,,,,,,,
L--XT-R-h-L--,,,,,,,,,,,,,,,,,,,,,,,,,,,
L--XT-RPH--UK,,,,,,,,,,,,,,,,,,,,,,,,,,,
L--XT-RPHC-UK,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB--T-R-h-L--,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB--T-RPhCL--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB-XT-RP-C-UK,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB-XT-RPHC-UK,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB-XT-RPHCLUK,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB-XT-RPhCLUK,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBE-T-R-h-L--,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBE-T-RPHCL--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.1,0.0,0.0,0.0,0.0,0.0,0.0,57.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0
LBE-T-RPhCL--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.1,0.0,0.0,0.0,0.0,0.0,0.0,55.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0
LBEX--RPhC---,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBEX--RPhCLUK,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBEXT--PHCLUK,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBEXT-R-H----,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBEXT-RP-C-UK,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBEXT-RPHC---,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBEXT-RPHCL--,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBEXT-RPHCLUK,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBEXT-RPhC---,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,25.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.38,0.0,0.0
LBEXT-RPhCL--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.52,0.0,0.0,0.0,0.0,0.0,0.0,40.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.05,10.48,0.0
LBEXT-RPhCLUK,,,,,,,,,,,,,,,,,,,,,,,,,,,
