,S--XT---H----,S--XT-R------,S--XT-R-H----,S--XT-R-h----,S--XT-RPH--UK,S--XT-RPHC-UK,SB-XT-R-h----,SB-XT-RP-C-UK,SB-XT-RPHC-UK,SB-XT-RPh----,SB-XT-RPhC-UK,SBEXT--PHC-UK,SBEXT-R-h----,SBEXT-RP-C-UK,SBEXT-RPH----,SBEXT-RPHC---,SBEXT-RPHC-U-,SBEXT-RPHC-UK,SBEXT-RPh----,SBEXT-RPhC---,SBEXT-RPhC-UK
S--XT---H----,27.62,51.43,0.0,19.05,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S--XT-R------,19.05,64.76,0.0,16.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S--XT-R-H----,15.24,22.86,0.0,61.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S--XT-R-h----,2.86,1.9,0.0,95.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S--XT-RPH--UK,0.0,0.0,0.0,0.0,22.86,0.0,0.0,0.0,0.0,68.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,7.62,0.0
S--XT-RPHC-UK,,,,,,,,,,,,,,,,,,,,,
SB-XT-R-h----,,,,,,,,,,,,,,,,,,,,,
SB-XT-RP-C-UK,,,,,,,,,,,,,,,,,,,,,
SB-XT-RPHC-UK,,,,,,,,,,,,,,,,,,,,,
SB-XT-RPh----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81,0.0,0.0
SB-XT-RPhC-UK,,,,,,,,,,,,,,,,,,,,,
SBEXT--PHC-UK,,,,,,,,,,,,,,,,,,,,,
SBEXT-R-h----,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.29,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
SBEXT-RP-C-UK,,,,,,,,,,,,,,,,,,,,,
SBEXT-RPH----,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,67.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,2.86,0.0
SBEXT-RPHC---,,,,,,,,,,,,,,,,,,,,,
SBEXT-RPHC-U-,,,,,,,,,,,,,,,,,,,,,
SBEXT-RPHC-UK,,,,,,,,,,,,,,,,,,,,,
SBEXT-RPh----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.43,0.95,0.0
SBEXT-RPhC---,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,45.71,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,18.1,33.33,0.0
SBEXT-RPhC-UK,,,,,,,,,,,,,,,,,,,,,
